feature,importance,project,model
VCC_f28_diff_function,0.01182087,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f29_sum_function,0.013010148,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f2_nb_added_loop,0.0146986265,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f3_nb_removed_loop,0.012191002,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f4_diff_loop,0.013691726,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f5_sum_loop,0.013030635,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f6_nb_added_if,0.017756112,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f7_nb_removed_if,0.0122243855,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f8_diff_if,0.015143848,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f9_sum_if,0.01467424,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s10_nb_removed_INTMAX,0.0,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s11_nb_added_goto,0.016910167,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s12_nb_removed_goto,0.01220632,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s13_nb_added_define,0.012384012,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s14_nb_removed_define,0.01111831,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s15_nb_added_struct,0.012634924,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s16_nb_removed_struct,0.010153811,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s17_diff_struct,0.013191004,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s18_sum_struct,0.011802998,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s19_nb_added_offset,0.011561827,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s1_nb_added_sizeof,0.018083716,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s20_nb_removed_offset,0.01171188,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s21_nb_added_void,0.011788476,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s22_nb_removed_void,0.011485534,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s23_diff_void,0.011299219,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s24_sum_void,0.011996473,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s2_nb_removed_sizeof,0.0130478125,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s3_diff_sizeof,0.013583862,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s4_sum_sizeof,0.018352896,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s5_nb_added_continue,0.012257306,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s6_nb_removed_continue,0.015301159,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s7_nb_added_break,0.016073933,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s8_nb_removed_break,0.013392926,harfbuzz/cross_project/exclude_target,XGBoost
VCC_s9_nb_added_INTMAX,0.0027197532,harfbuzz/cross_project/exclude_target,XGBoost
VCC_w1,0.011621045,harfbuzz/cross_project/exclude_target,XGBoost
VCC_w10,0.01234876,harfbuzz/cross_project/exclude_target,XGBoost
VCC_w2,0.011427641,harfbuzz/cross_project/exclude_target,XGBoost
VCC_w3,0.012057489,harfbuzz/cross_project/exclude_target,XGBoost
