feature,importance,project,model
VCC_f18_nb_added_bool,0.027515046,curl,XGBoost
VCC_f19_nb_removed_bool,0.023422768,curl,XGBoost
VCC_f1_sum_file_change,0.054112665,curl,XGBoost
VCC_f20_diff_bool,0.0014131909,curl,XGBoost
VCC_f21_sum_bool,0.018411415,curl,XGBoost
VCC_f22_nb_added_assignement,0.002366868,curl,XGBoost
VCC_f23_nb_removed_assignement,0.00809284,curl,XGBoost
VCC_f24_diff_assignement,0.004932454,curl,XGBoost
VCC_f25_sum_assignement,0.0014886536,curl,XGBoost
VCC_f26_nb_added_function,0.01740273,curl,XGBoost
VCC_f27_nb_removed_function,0.014493857,curl,XGBoost
VCC_f28_diff_function,0.0038646632,curl,XGBoost
VCC_f29_sum_function,0.032433003,curl,XGBoost
VCC_f2_nb_added_loop,0.0,curl,XGBoost
VCC_f3_nb_removed_loop,0.0,curl,XGBoost
VCC_f4_diff_loop,0.0,curl,XGBoost
VCC_f5_sum_loop,0.0,curl,XGBoost
VCC_f6_nb_added_if,0.0,curl,XGBoost
VCC_f7_nb_removed_if,0.0,curl,XGBoost
VCC_f8_diff_if,0.0,curl,XGBoost
VCC_f9_sum_if,0.0,curl,XGBoost
VCC_s10_nb_removed_INTMAX,0.0,curl,XGBoost
VCC_s11_nb_added_goto,0.0005112988,curl,XGBoost
VCC_s12_nb_removed_goto,0.0,curl,XGBoost
VCC_s13_nb_added_define,0.004205426,curl,XGBoost
VCC_s14_nb_removed_define,0.015064042,curl,XGBoost
VCC_s15_nb_added_struct,0.0010034418,curl,XGBoost
VCC_s16_nb_removed_struct,0.0,curl,XGBoost
VCC_s17_diff_struct,0.00031614993,curl,XGBoost
VCC_s18_sum_struct,0.026437981,curl,XGBoost
VCC_s19_nb_added_offset,0.0,curl,XGBoost
VCC_s1_nb_added_sizeof,0.01274091,curl,XGBoost
VCC_s20_nb_removed_offset,0.0,curl,XGBoost
VCC_s21_nb_added_void,0.0022491498,curl,XGBoost
VCC_s22_nb_removed_void,0.0012560445,curl,XGBoost
VCC_s23_diff_void,0.00020668852,curl,XGBoost
VCC_s24_sum_void,0.001278267,curl,XGBoost
VCC_s2_nb_removed_sizeof,0.0045771557,curl,XGBoost
VCC_s3_diff_sizeof,0.0010088667,curl,XGBoost
VCC_s4_sum_sizeof,0.0049508386,curl,XGBoost
VCC_s5_nb_added_continue,0.0,curl,XGBoost
VCC_s6_nb_removed_continue,0.0,curl,XGBoost
VCC_s7_nb_added_break,0.0006400826,curl,XGBoost
VCC_s8_nb_removed_break,0.0,curl,XGBoost
VCC_s9_nb_added_INTMAX,0.0,curl,XGBoost
VCC_w1,0.018735677,curl,XGBoost
VCC_w10,0.013720114,curl,XGBoost
VCC_w2,0.02292356,curl,XGBoost
VCC_w3,0.003496319,curl,XGBoost
VCC_w4,0.010760591,curl,XGBoost
VCC_w5,0.006949967,curl,XGBoost
VCC_w6,0.008885219,curl,XGBoost
VCC_w7,0.001661768,curl,XGBoost
VCC_w8,0.006298897,curl,XGBoost
VCC_w9,0.0021211866,curl,XGBoost
VCC_f10_nb_added_line,0.055574905,file,XGBoost
VCC_f11_nb_removed_line,0.049850613,file,XGBoost
VCC_f12_diff_line,0.025077008,file,XGBoost
VCC_f13_sum_line,0.032133378,file,XGBoost
VCC_f14_nb_added_paren,0.024025934,file,XGBoost
VCC_f15_nb_removed_paren,0.014699654,file,XGBoost
VCC_f16_diff_paren,0.017904889,file,XGBoost
VCC_f17_sum_paren,0.010508513,file,XGBoost
VCC_f18_nb_added_bool,0.0029212837,file,XGBoost
VCC_f19_nb_removed_bool,0.0,file,XGBoost
VCC_f1_sum_file_change,0.021443661,file,XGBoost
VCC_f20_diff_bool,0.00067414186,file,XGBoost
VCC_f21_sum_bool,0.0065973946,file,XGBoost
VCC_f22_nb_added_assignement,0.022944245,file,XGBoost
VCC_f23_nb_removed_assignement,0.031319734,file,XGBoost
VCC_f24_diff_assignement,0.0023458698,file,XGBoost
VCC_f25_sum_assignement,0.01870494,file,XGBoost
VCC_f26_nb_added_function,0.0,file,XGBoost
VCC_f27_nb_removed_function,0.0,file,XGBoost
VCC_f28_diff_function,0.0,file,XGBoost
VCC_f29_sum_function,0.0015036382,file,XGBoost
VCC_f2_nb_added_loop,0.0025337923,file,XGBoost
VCC_f3_nb_removed_loop,0.0,file,XGBoost
VCC_f4_diff_loop,0.0,file,XGBoost
VCC_f5_sum_loop,0.00025426556,file,XGBoost
VCC_f6_nb_added_if,0.01301486,file,XGBoost
VCC_f7_nb_removed_if,0.0065568346,file,XGBoost
VCC_f8_diff_if,0.0,file,XGBoost
VCC_f9_sum_if,0.016311787,file,XGBoost
VCC_s10_nb_removed_INTMAX,0.0,file,XGBoost
VCC_s11_nb_added_goto,0.0,file,XGBoost
VCC_s12_nb_removed_goto,0.0,file,XGBoost
VCC_s13_nb_added_define,0.0,file,XGBoost
VCC_s14_nb_removed_define,0.0,file,XGBoost
VCC_s15_nb_added_struct,0.0,file,XGBoost
VCC_s16_nb_removed_struct,0.0,file,XGBoost
VCC_s17_diff_struct,0.0,file,XGBoost
VCC_s18_sum_struct,0.0,file,XGBoost
VCC_s19_nb_added_offset,0.0,file,XGBoost
VCC_s1_nb_added_sizeof,0.019574795,file,XGBoost
VCC_s20_nb_removed_offset,0.0,file,XGBoost
VCC_s21_nb_added_void,0.0,file,XGBoost
VCC_s22_nb_removed_void,0.0,file,XGBoost
VCC_s23_diff_void,0.0,file,XGBoost
VCC_s24_sum_void,0.0,file,XGBoost
VCC_s2_nb_removed_sizeof,0.0,file,XGBoost
VCC_s3_diff_sizeof,0.0054587172,file,XGBoost
VCC_s4_sum_sizeof,0.0061192466,file,XGBoost
VCC_s5_nb_added_continue,0.0,file,XGBoost
VCC_s6_nb_removed_continue,0.0,file,XGBoost
VCC_s7_nb_added_break,0.0,file,XGBoost
VCC_s8_nb_removed_break,0.0,file,XGBoost
VCC_s9_nb_added_INTMAX,0.0,file,XGBoost
VCC_w1,0.005618599,file,XGBoost
VCC_w10,0.0,file,XGBoost
VCC_w2,0.0,file,XGBoost
VCC_w3,0.0,file,XGBoost
VCC_w4,0.0,file,XGBoost
VCC_w5,0.0039540613,file,XGBoost
VCC_w6,0.0029351665,file,XGBoost
VCC_w7,0.0039720456,file,XGBoost
VCC_w8,0.00035371215,file,XGBoost
VCC_w9,0.03066787,file,XGBoost
VCC_f10_nb_added_line,0.02926528,fluent-bit,XGBoost
VCC_f11_nb_removed_line,0.026285838,fluent-bit,XGBoost
VCC_f12_diff_line,0.035191298,fluent-bit,XGBoost
VCC_f13_sum_line,0.011443015,fluent-bit,XGBoost
VCC_f14_nb_added_paren,0.0025795375,fluent-bit,XGBoost
VCC_f15_nb_removed_paren,0.018873578,fluent-bit,XGBoost
VCC_f16_diff_paren,0.0290832,fluent-bit,XGBoost
VCC_f17_sum_paren,0.0038623416,fluent-bit,XGBoost
VCC_f18_nb_added_bool,0.0034556605,fluent-bit,XGBoost
VCC_f19_nb_removed_bool,0.013581542,fluent-bit,XGBoost
VCC_f1_sum_file_change,0.01224362,fluent-bit,XGBoost
VCC_f20_diff_bool,0.0079750065,fluent-bit,XGBoost
VCC_f21_sum_bool,0.0023953537,fluent-bit,XGBoost
VCC_f22_nb_added_assignement,0.013867885,fluent-bit,XGBoost
VCC_f23_nb_removed_assignement,0.039435007,fluent-bit,XGBoost
VCC_f24_diff_assignement,0.026106589,fluent-bit,XGBoost
VCC_f25_sum_assignement,0.0075561064,fluent-bit,XGBoost
VCC_f26_nb_added_function,0.017706204,fluent-bit,XGBoost
VCC_f27_nb_removed_function,0.004735782,fluent-bit,XGBoost
VCC_f28_diff_function,0.022419987,fluent-bit,XGBoost
VCC_f29_sum_function,0.030886654,fluent-bit,XGBoost
VCC_f2_nb_added_loop,0.016469907,fluent-bit,XGBoost
VCC_f3_nb_removed_loop,0.0005865168,fluent-bit,XGBoost
VCC_f4_diff_loop,0.002220398,fluent-bit,XGBoost
VCC_f5_sum_loop,0.008558085,fluent-bit,XGBoost
VCC_f6_nb_added_if,0.015537083,fluent-bit,XGBoost
VCC_f7_nb_removed_if,0.008732143,fluent-bit,XGBoost
VCC_f8_diff_if,0.024287002,fluent-bit,XGBoost
VCC_f9_sum_if,0.010433444,fluent-bit,XGBoost
VCC_s10_nb_removed_INTMAX,0.0,fluent-bit,XGBoost
VCC_s11_nb_added_goto,0.0033297401,fluent-bit,XGBoost
VCC_s12_nb_removed_goto,0.0,fluent-bit,XGBoost
VCC_s13_nb_added_define,0.0061778007,fluent-bit,XGBoost
VCC_s14_nb_removed_define,0.0007624993,fluent-bit,XGBoost
VCC_s15_nb_added_struct,0.002420449,fluent-bit,XGBoost
VCC_s16_nb_removed_struct,0.00056970865,fluent-bit,XGBoost
VCC_s17_diff_struct,0.00052804867,fluent-bit,XGBoost
VCC_s18_sum_struct,0.000823434,fluent-bit,XGBoost
VCC_s19_nb_added_offset,0.00050417776,fluent-bit,XGBoost
VCC_s1_nb_added_sizeof,0.012519237,fluent-bit,XGBoost
VCC_s20_nb_removed_offset,0.00021657265,fluent-bit,XGBoost
VCC_s21_nb_added_void,0.008471804,fluent-bit,XGBoost
VCC_s22_nb_removed_void,0.0066262227,fluent-bit,XGBoost
VCC_s23_diff_void,0.004421596,fluent-bit,XGBoost
VCC_s24_sum_void,0.0045098653,fluent-bit,XGBoost
VCC_s2_nb_removed_sizeof,0.006924242,fluent-bit,XGBoost
VCC_s3_diff_sizeof,0.009958778,fluent-bit,XGBoost
VCC_s4_sum_sizeof,0.0074765487,fluent-bit,XGBoost
VCC_s5_nb_added_continue,0.003818032,fluent-bit,XGBoost
VCC_s6_nb_removed_continue,0.0001963491,fluent-bit,XGBoost
VCC_s7_nb_added_break,0.002919314,fluent-bit,XGBoost
VCC_s8_nb_removed_break,0.00027044842,fluent-bit,XGBoost
VCC_s9_nb_added_INTMAX,0.0,fluent-bit,XGBoost
VCC_w1,0.022464087,fluent-bit,XGBoost
VCC_w10,0.004362132,fluent-bit,XGBoost
VCC_w2,0.01865802,fluent-bit,XGBoost
VCC_w3,0.03868266,fluent-bit,XGBoost
VCC_w4,0.00847205,fluent-bit,XGBoost
VCC_w5,0.018765464,fluent-bit,XGBoost
VCC_w6,0.031577334,fluent-bit,XGBoost
VCC_w7,0.017477285,fluent-bit,XGBoost
VCC_w8,0.033692293,fluent-bit,XGBoost
VCC_w9,0.009963088,fluent-bit,XGBoost
VCC_f10_nb_added_line,0.027561381,harfbuzz,XGBoost
VCC_f11_nb_removed_line,0.017510155,harfbuzz,XGBoost
VCC_f12_diff_line,0.011533226,harfbuzz,XGBoost
VCC_f13_sum_line,0.016410848,harfbuzz,XGBoost
VCC_f14_nb_added_paren,0.052571785,harfbuzz,XGBoost
VCC_f15_nb_removed_paren,0.022676002,harfbuzz,XGBoost
