project,builds_per_day
apache-commons-imaging,1
reflections,1
lodash,1
hcl,1
libmpeg2,1
mybatis-3,1
docutils,1
wamr,1
scipy,1
htmlunit,1
libwebp,1
time,1
etcd,1
openbabel,1
charset_normalizer,1
abseil-cpp,1
httpcore,1
httpretty,1
opennavsurf-bag,1
adal,1
antlr3-java,1
fast-xml-parser,1
javacpp,1
containerd,1
jboss-logging,1
freerdp,4
firefox,1
stb,1
relic,1
json5format,1
apache-commons-geometry,1
pynacl,1
lodepng,1
lz4_flex,1
parse,1
python-prompt-toolkit,1
proton-bridge,1
arrow,1
apache-commons-codec,1
jopt-simple,1
plan9port,1
jackson-modules-java8,1
config-validator,1
rxjava,1
autopep8,1
html5lib-python,1
trafficserver,1
pycparser,1
apache-commons-bcel,1
pigweed,1
aptos-core,1
leptonica,1
go-coap,1
bzip2,1
angular,1
g-oauth-java-client,1
g-api-py-api-common-protos,1
lldb-eval,1
mrab-regex,1
openssh,1
jakarta-mail-api,1
g-api-auth-library-python,1
compress,1
pip,1
grok,1
sqlalchemy_jsonfield,1
jsoup,1
tensorflow,1
async-http-client,1
cri-o,1
grpc-httpjson-transcoding,1
wavpack,1
c-blosc2,1
unrar,1
tinyxml2,1
libprotobuf-mutator,1
runc,1
librsvg,1
cairo,1
json-patch,1
cilium,1
aspell,1
libspectre,1
bc-java,1
go-containerregistry,1
opentelemetry-go-contrib,1
libldac,1
tor,1
psycopg2,1
libtiff,1
mosquitto,1
lotus,1
airflow,1
libssh2,1
xnnpack,1
coreutils,1
g-api-python-client,1
litmuschaos,1
xmlsec,1
proftpd,1
psutil,1
meshoptimizer,1
bc-java-wycheproof,1
circl,1
parso,1
go-git,1
kubevirt,1
itsdangerous,1
maven-model,1
libjpeg-turbo,1
cryptsetup,2
bazel-rules-fuzzing-test-java,1
scorecard-web,1
spdlog,1
libxls,1
ffmpeg,1
netcdf,1
libyuv,1
oscrypto,1
mosh,1
python3-libraries,1
ipykernel,1
azure-sdk-for-python,1
sleuthkit,1
xen,1
tomlkit,1
ngolo-fuzzing,1
behaviortreecpp,1
jansson,1
lldpd,1
usbguard,1
opentelemetry-go,1
xmlbeans,1
giflib,1
serde-yaml,1
pupnp,1
ibmswtpm2,1
ftfy,1
olefile,1
wabt,1
black,1
matplotlib,1
python-pathspec,1
pandas,1
tremor,1
gcloud-error-py,1
tomlplusplus,1
mapserver,1
h2database,1
libfuse,1
bluez,1
systemd,4
pako,1
promise-polyfill,1
fribidi,1
jetty,1
wheel,1
libpsl,1
tendermint,1
fast-dds,1
cppitertools,1
fuzzywuzzy,1
httpx,1
g-cloud-logging-py,1
lame,1
imageio,1
mandelbulber,1
data-encoding,1
gc-iam,1
avahi,4
mfcmapi,1
highwayhash,1
fio,1
markdown-it-py,1
servo-core,1
proj4,1
quartz,1
postfix,1
radare2,1
g-http-java-client,1
logback,1
onednn,1
pytest-py,1
cssselect,1
arrow-java,1
iniconfig,1
ghostscript,1
hdf5,1
spice-usbredir,1
qs,1
unbound,1
javapoet,1
pulumi,1
wuffs,1
python-pypdf,1
libgit2,1
jackson-datatypes-collections,1
jimfs,1
toolbelt,1
six,1
protocompile,1
lit,1
igraph,1
tinygltf,1
elfutils,4
cura-engine,1
libmicrohttpd,1
python-rsa,1
python-multipart,1
java-jwt,1
sigstore-java,1
radon,1
pcl,1
glom,1
vtpm-td,1
cloud-hypervisor,1
knot-dns,1
tarantool,4
underscore,1
postgresql,1
helm,1
gunicorn,1
presto,1
setuptools,1
urlextract,1
g-api-pubsub,1
llhttp,1
ply,1
