strategy,project,date,scheduled_additional_builds
strategy1_median,ghostscript,2021-05-26 00:00:00+00:00,5
strategy1_median,ghostscript,2021-06-27 00:00:00+00:00,5
strategy1_median,ghostscript,2021-08-14 00:00:00+00:00,5
strategy1_median,ghostscript,2021-08-27 00:00:00+00:00,5
strategy1_median,ghostscript,2021-09-08 00:00:00+00:00,5
strategy1_median,ghostscript,2021-10-20 00:00:00+00:00,5
strategy1_median,ghostscript,2021-10-21 00:00:00+00:00,5
strategy1_median,ghostscript,2021-10-23 00:00:00+00:00,5
strategy1_median,ghostscript,2021-11-04 00:00:00+00:00,5
strategy1_median,ghostscript,2021-11-11 00:00:00+00:00,5
strategy1_median,ghostscript,2021-11-26 00:00:00+00:00,5
strategy1_median,ghostscript,2021-11-27 00:00:00+00:00,5
strategy1_median,ghostscript,2021-12-04 00:00:00+00:00,5
strategy1_median,ghostscript,2021-12-08 00:00:00+00:00,5
strategy1_median,ghostscript,2021-12-16 00:00:00+00:00,5
strategy1_median,ghostscript,2021-12-17 00:00:00+00:00,5
strategy1_median,ghostscript,2021-12-18 00:00:00+00:00,5
strategy1_median,ghostscript,2021-12-19 00:00:00+00:00,5
strategy1_median,ghostscript,2021-12-25 00:00:00+00:00,5
strategy1_median,ghostscript,2021-12-30 00:00:00+00:00,5
strategy1_median,ghostscript,2022-01-06 00:00:00+00:00,5
strategy1_median,ghostscript,2022-01-12 00:00:00+00:00,5
strategy1_median,ghostscript,2022-01-13 00:00:00+00:00,5
strategy1_median,ghostscript,2022-01-14 00:00:00+00:00,5
strategy1_median,ghostscript,2022-01-18 00:00:00+00:00,5
strategy1_median,ghostscript,2022-01-21 00:00:00+00:00,5
strategy1_median,ghostscript,2022-01-23 00:00:00+00:00,5
strategy1_median,ghostscript,2022-01-25 00:00:00+00:00,5
strategy1_median,ghostscript,2022-01-26 00:00:00+00:00,5
strategy1_median,ghostscript,2022-01-27 00:00:00+00:00,5
strategy1_median,ghostscript,2022-02-09 00:00:00+00:00,5
strategy1_median,ghostscript,2022-02-11 00:00:00+00:00,5
strategy1_median,ghostscript,2022-02-12 00:00:00+00:00,5
strategy1_median,ghostscript,2022-02-13 00:00:00+00:00,5
strategy1_median,ghostscript,2022-02-16 00:00:00+00:00,5
strategy1_median,ghostscript,2022-02-17 00:00:00+00:00,5
strategy1_median,ghostscript,2022-02-18 00:00:00+00:00,5
strategy1_median,ghostscript,2022-02-23 00:00:00+00:00,5
strategy1_median,ghostscript,2022-02-24 00:00:00+00:00,5
strategy1_median,ghostscript,2022-02-25 00:00:00+00:00,5
strategy1_median,ghostscript,2022-02-26 00:00:00+00:00,5
strategy1_median,ghostscript,2022-03-02 00:00:00+00:00,5
strategy1_median,ghostscript,2022-03-04 00:00:00+00:00,5
strategy1_median,ghostscript,2022-03-05 00:00:00+00:00,5
strategy1_median,ghostscript,2022-03-06 00:00:00+00:00,5
strategy1_median,ghostscript,2022-03-09 00:00:00+00:00,5
strategy1_median,ghostscript,2022-03-10 00:00:00+00:00,5
strategy1_median,ghostscript,2022-03-11 00:00:00+00:00,5
strategy1_median,ghostscript,2022-03-12 00:00:00+00:00,5
strategy1_median,ghostscript,2022-03-23 00:00:00+00:00,5
strategy1_median,ghostscript,2022-03-31 00:00:00+00:00,5
strategy1_median,ghostscript,2022-04-02 00:00:00+00:00,5
strategy1_median,ghostscript,2022-04-08 00:00:00+00:00,5
strategy1_median,ghostscript,2022-04-09 00:00:00+00:00,5
strategy1_median,ghostscript,2022-04-16 00:00:00+00:00,5
strategy1_median,ghostscript,2022-04-29 00:00:00+00:00,5
strategy1_median,ghostscript,2022-05-01 00:00:00+00:00,5
strategy1_median,ghostscript,2022-05-05 00:00:00+00:00,5
strategy1_median,ghostscript,2022-05-26 00:00:00+00:00,5
strategy1_median,ghostscript,2022-06-02 00:00:00+00:00,5
strategy1_median,ghostscript,2022-06-03 00:00:00+00:00,5
strategy1_median,ghostscript,2022-06-09 00:00:00+00:00,5
strategy1_median,ghostscript,2022-06-10 00:00:00+00:00,5
strategy1_median,ghostscript,2022-06-22 00:00:00+00:00,5
strategy1_median,ghostscript,2022-06-24 00:00:00+00:00,5
strategy1_median,ghostscript,2022-06-25 00:00:00+00:00,5
strategy1_median,ghostscript,2022-06-28 00:00:00+00:00,5
strategy1_median,ghostscript,2022-06-29 00:00:00+00:00,5
strategy1_median,ghostscript,2022-07-01 00:00:00+00:00,5
strategy1_median,ghostscript,2022-07-02 00:00:00+00:00,5
strategy1_median,ghostscript,2022-07-06 00:00:00+00:00,5
strategy1_median,ghostscript,2022-07-07 00:00:00+00:00,5
strategy1_median,ghostscript,2022-07-09 00:00:00+00:00,5
