strategy,project,date,scheduled_additional_builds
strategy1_median,c-blosc2,2021-02-01 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-02-02 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-02-03 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-02-04 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-02-07 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-02-08 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-02-12 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-02-19 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-02-27 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-03-09 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-03-19 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-03-25 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-04-02 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-04-12 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-04-14 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-04-22 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-04-29 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-04-30 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-05-03 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-05-06 00:00:00+00:00,15
strategy1_median,c-blosc2,2021-05-16 00:00:00+00:00,23
strategy1_median,c-blosc2,2021-05-23 00:00:00+00:00,23
strategy1_median,c-blosc2,2021-06-14 00:00:00+00:00,23
strategy1_median,c-blosc2,2021-06-16 00:00:00+00:00,23
strategy1_median,c-blosc2,2021-06-21 00:00:00+00:00,23
strategy1_median,c-blosc2,2021-06-28 00:00:00+00:00,23
strategy1_median,c-blosc2,2021-08-27 00:00:00+00:00,23
strategy1_median,c-blosc2,2021-08-31 00:00:00+00:00,23
strategy1_median,c-blosc2,2022-01-21 00:00:00+00:00,44
strategy1_median,c-blosc2,2022-02-14 00:00:00+00:00,44
strategy1_median,c-blosc2,2022-02-17 00:00:00+00:00,44
strategy1_median,c-blosc2,2022-03-30 00:00:00+00:00,44
strategy1_median,c-blosc2,2022-04-05 00:00:00+00:00,44
strategy1_median,c-blosc2,2022-04-06 00:00:00+00:00,44
strategy1_median,c-blosc2,2022-04-07 00:00:00+00:00,44
strategy1_median,c-blosc2,2022-04-13 00:00:00+00:00,44
strategy1_median,c-blosc2,2022-07-05 00:00:00+00:00,45
strategy1_median,c-blosc2,2022-08-18 00:00:00+00:00,45
strategy1_median,c-blosc2,2022-08-20 00:00:00+00:00,45
strategy1_median,c-blosc2,2022-09-14 00:00:00+00:00,45
strategy1_median,c-blosc2,2022-10-16 00:00:00+00:00,45
strategy1_median,c-blosc2,2022-11-28 00:00:00+00:00,45
strategy1_median,c-blosc2,2023-01-10 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-01-11 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-01-17 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-01-18 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-01-19 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-01-24 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-01-25 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-02-10 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-02-18 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-03-16 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-03-19 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-03-28 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-04-10 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-05-02 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-05-17 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-06-01 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-07-03 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-07-04 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-08-21 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-08-29 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-10-16 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-11-01 00:00:00+00:00,44
strategy1_median,c-blosc2,2023-12-27 00:00:00+00:00,44
strategy1_median,c-blosc2,2024-01-24 00:00:00+00:00,44
strategy1_median,c-blosc2,2024-05-13 00:00:00+00:00,44
strategy1_median,c-blosc2,2024-05-16 00:00:00+00:00,44
strategy1_median,c-blosc2,2024-06-11 00:00:00+00:00,44
strategy1_median,c-blosc2,2024-07-04 00:00:00+00:00,44
strategy1_median,c-blosc2,2024-07-30 00:00:00+00:00,44
strategy1_median,c-blosc2,2025-02-22 00:00:00+00:00,44
strategy1_median,clamav,2020-09-11 00:00:00+00:00,67
strategy1_median,clamav,2020-10-16 00:00:00+00:00,67
strategy1_median,clamav,2020-11-16 00:00:00+00:00,67
strategy1_median,clamav,2020-11-18 00:00:00+00:00,67
strategy1_median,clamav,2020-11-25 00:00:00+00:00,67
strategy1_median,clamav,2020-12-03 00:00:00+00:00,67
strategy1_median,clamav,2020-12-09 00:00:00+00:00,67
strategy1_median,clamav,2021-01-07 00:00:00+00:00,67
strategy1_median,clamav,2021-01-12 00:00:00+00:00,67
strategy1_median,clamav,2021-01-22 00:00:00+00:00,67
strategy1_median,clamav,2021-01-26 00:00:00+00:00,67
strategy1_median,clamav,2021-01-27 00:00:00+00:00,67
strategy1_median,clamav,2021-01-28 00:00:00+00:00,67
strategy1_median,clamav,2021-02-14 00:00:00+00:00,67
strategy1_median,clamav,2021-02-15 00:00:00+00:00,67
strategy1_median,clamav,2021-02-17 00:00:00+00:00,67
strategy1_median,clamav,2021-02-25 00:00:00+00:00,67
strategy1_median,clamav,2021-03-09 00:00:00+00:00,67
strategy1_median,clamav,2021-03-18 00:00:00+00:00,67
strategy1_median,clamav,2021-03-19 00:00:00+00:00,67
strategy1_median,clamav,2021-03-20 00:00:00+00:00,67
strategy1_median,clamav,2021-03-22 00:00:00+00:00,67
strategy1_median,clamav,2021-03-23 00:00:00+00:00,67
strategy1_median,clamav,2021-03-31 00:00:00+00:00,67
strategy1_median,clamav,2021-04-01 00:00:00+00:00,67
strategy1_median,clamav,2021-04-02 00:00:00+00:00,67
strategy1_median,clamav,2021-04-03 00:00:00+00:00,67
strategy1_median,clamav,2021-04-05 00:00:00+00:00,67
strategy1_median,clamav,2021-04-06 00:00:00+00:00,67
strategy1_median,clamav,2021-04-08 00:00:00+00:00,67
strategy1_median,clamav,2021-04-09 00:00:00+00:00,67
strategy1_median,clamav,2021-04-10 00:00:00+00:00,67
strategy1_median,clamav,2021-04-20 00:00:00+00:00,67
strategy1_median,clamav,2021-04-21 00:00:00+00:00,85
strategy1_median,clamav,2021-04-22 00:00:00+00:00,85
strategy1_median,clamav,2021-04-27 00:00:00+00:00,85
strategy1_median,clamav,2021-04-30 00:00:00+00:00,85
strategy1_median,clamav,2021-05-02 00:00:00+00:00,85
strategy1_median,clamav,2021-05-08 00:00:00+00:00,85
strategy1_median,clamav,2021-05-11 00:00:00+00:00,85
strategy1_median,clamav,2021-05-18 00:00:00+00:00,85
strategy1_median,clamav,2021-05-19 00:00:00+00:00,85
strategy1_median,clamav,2021-05-21 00:00:00+00:00,85
strategy1_median,clamav,2021-05-27 00:00:00+00:00,85
strategy1_median,clamav,2021-05-28 00:00:00+00:00,85
strategy1_median,clamav,2021-06-02 00:00:00+00:00,85
strategy1_median,clamav,2021-06-03 00:00:00+00:00,85
strategy1_median,clamav,2021-06-04 00:00:00+00:00,85
strategy1_median,clamav,2021-06-09 00:00:00+00:00,85
strategy1_median,clamav,2021-06-15 00:00:00+00:00,85
strategy1_median,clamav,2021-06-16 00:00:00+00:00,85
strategy1_median,clamav,2021-06-17 00:00:00+00:00,85
strategy1_median,clamav,2021-06-18 00:00:00+00:00,85
strategy1_median,clamav,2021-06-19 00:00:00+00:00,85
strategy1_median,clamav,2021-06-21 00:00:00+00:00,85
strategy1_median,clamav,2021-06-22 00:00:00+00:00,85
strategy1_median,clamav,2021-06-23 00:00:00+00:00,85
strategy1_median,clamav,2021-06-24 00:00:00+00:00,85
strategy1_median,clamav,2021-07-05 00:00:00+00:00,85
strategy1_median,clamav,2021-07-06 00:00:00+00:00,85
strategy1_median,clamav,2021-07-13 00:00:00+00:00,85
strategy1_median,clamav,2021-07-15 00:00:00+00:00,85
strategy1_median,clamav,2021-07-16 00:00:00+00:00,85
strategy1_median,clamav,2021-07-17 00:00:00+00:00,85
strategy1_median,clamav,2021-07-18 00:00:00+00:00,85
strategy1_median,clamav,2021-07-19 00:00:00+00:00,85
strategy1_median,clamav,2021-07-20 00:00:00+00:00,85
strategy1_median,clamav,2021-07-21 00:00:00+00:00,85
strategy1_median,clamav,2021-07-30 00:00:00+00:00,85
strategy1_median,clamav,2021-07-31 00:00:00+00:00,85
strategy1_median,clamav,2021-08-14 00:00:00+00:00,85
strategy1_median,clamav,2021-08-16 00:00:00+00:00,85
strategy1_median,clamav,2021-08-17 00:00:00+00:00,85
strategy1_median,clamav,2021-08-18 00:00:00+00:00,85
strategy1_median,clamav,2021-08-22 00:00:00+00:00,85
strategy1_median,clamav,2021-08-25 00:00:00+00:00,85
strategy1_median,clamav,2021-08-26 00:00:00+00:00,85
strategy1_median,clamav,2021-09-02 00:00:00+00:00,85
strategy1_median,clamav,2021-09-15 00:00:00+00:00,85
strategy1_median,clamav,2021-09-27 00:00:00+00:00,85
strategy1_median,clamav,2021-09-29 00:00:00+00:00,85
strategy1_median,clamav,2021-10-11 00:00:00+00:00,85
strategy1_median,clamav,2021-10-12 00:00:00+00:00,85
strategy1_median,clamav,2021-10-21 00:00:00+00:00,85
strategy1_median,clamav,2021-10-25 00:00:00+00:00,85
strategy1_median,clamav,2021-10-29 00:00:00+00:00,85
strategy1_median,clamav,2021-10-30 00:00:00+00:00,85
strategy1_median,clamav,2021-10-31 00:00:00+00:00,85
strategy1_median,clamav,2021-11-11 00:00:00+00:00,85
strategy1_median,clamav,2021-11-15 00:00:00+00:00,85
strategy1_median,clamav,2021-12-08 00:00:00+00:00,85
strategy1_median,clamav,2021-12-23 00:00:00+00:00,85
strategy1_median,clamav,2022-01-06 00:00:00+00:00,85
strategy1_median,clamav,2022-01-09 00:00:00+00:00,85
strategy1_median,clamav,2022-01-10 00:00:00+00:00,85
strategy1_median,clamav,2022-01-24 00:00:00+00:00,85
strategy1_median,clamav,2022-01-27 00:00:00+00:00,85
strategy1_median,clamav,2022-01-28 00:00:00+00:00,85
strategy1_median,clamav,2022-02-10 00:00:00+00:00,85
strategy1_median,clamav,2023-02-03 00:00:00+00:00,118
strategy1_median,clamav,2023-02-08 00:00:00+00:00,118
strategy1_median,clamav,2023-02-10 00:00:00+00:00,118
strategy1_median,clamav,2023-03-30 00:00:00+00:00,118
strategy1_median,clamav,2023-04-13 00:00:00+00:00,118
strategy1_median,clamav,2023-04-26 00:00:00+00:00,118
strategy1_median,clamav,2023-05-17 00:00:00+00:00,118
strategy1_median,clamav,2023-08-03 00:00:00+00:00,102
strategy1_median,clamav,2023-08-24 00:00:00+00:00,102
strategy1_median,clamav,2023-08-25 00:00:00+00:00,102
strategy1_median,clamav,2023-10-20 00:00:00+00:00,102
strategy1_median,clamav,2023-11-26 00:00:00+00:00,102
strategy1_median,clamav,2023-12-11 00:00:00+00:00,102
strategy1_median,clamav,2024-01-22 00:00:00+00:00,102
strategy1_median,clamav,2024-02-05 00:00:00+00:00,102
strategy1_median,clamav,2024-03-14 00:00:00+00:00,102
strategy1_median,clamav,2024-03-15 00:00:00+00:00,102
strategy1_median,clamav,2024-04-09 00:00:00+00:00,102
strategy1_median,clamav,2024-04-12 00:00:00+00:00,102
strategy1_median,clamav,2024-04-14 00:00:00+00:00,102
strategy1_median,clamav,2024-05-06 00:00:00+00:00,102
strategy1_median,clamav,2024-07-22 00:00:00+00:00,102
strategy1_median,clamav,2024-07-23 00:00:00+00:00,102
strategy1_median,curl,2019-06-24 00:00:00+00:00,1
strategy1_median,curl,2019-06-25 00:00:00+00:00,1
strategy1_median,curl,2019-06-26 00:00:00+00:00,1
strategy1_median,curl,2019-06-30 00:00:00+00:00,1
strategy1_median,curl,2019-07-04 00:00:00+00:00,1
strategy1_median,curl,2019-07-07 00:00:00+00:00,1
strategy1_median,curl,2019-07-08 00:00:00+00:00,1
strategy1_median,curl,2019-07-09 00:00:00+00:00,1
strategy1_median,curl,2019-07-10 00:00:00+00:00,1
strategy1_median,curl,2019-07-11 00:00:00+00:00,1
strategy1_median,curl,2019-07-14 00:00:00+00:00,1
strategy1_median,curl,2019-07-15 00:00:00+00:00,1
strategy1_median,curl,2019-07-16 00:00:00+00:00,1
strategy1_median,curl,2019-07-17 00:00:00+00:00,1
strategy1_median,curl,2019-07-18 00:00:00+00:00,1
strategy1_median,curl,2019-07-19 00:00:00+00:00,1
